Influencer_ID,Followers,Engagement_Rate,Growth_Rate,Niche,Video_Quality,Avg_Views_per_Post,Sponsorship_Status
183,270536,0.103,0.004,Tech,SD,377664,0
184,4373093,0.089,0.03,Travel,HD,120437,1
185,1562729,0.015,0.014,Travel,SD,155155,0
186,2223809,0.074,0.027,Fashion,HD,284749,0
187,682669,0.044,0.026,Education,HD,475382,1
188,3865822,0.029,0.046,Food,SD,14236,0
189,1120043,0.192,0.028,Education,SD,42781,1
190,3330462,0.124,0.03,Education,4K,79851,1
191,2207903,0.148,0.021,Travel,4K,90432,1
192,1742093,0.07,0.048,Beauty,SD,418028,0
193,2559231,0.085,0.039,Beauty,HD,340424,1
194,4301385,0.055,0.015,Gaming,4K,174240,0
195,3081389,0.028,0.042,Tech,HD,56152,1
196,1662909,0.044,0.022,Gaming,4K,393674,1
197,2657138,0.162,0.042,Food,4K,274362,0
198,111078,0.139,0.041,Fitness,4K,476036,0
199,1916631,0.114,0.01,Beauty,SD,96719,0
200,1405104,0.1,0.035,Beauty,HD,384371,1
201,2009187,0.185,0.015,Fashion,SD,241698,0
202,1660066,0.024,0.016,Fashion,4K,437713,1
203,4174125,0.063,0.016,Beauty,SD,425144,1
204,2149815,0.076,0.037,Tech,SD,233867,1
205,4025066,0.159,0.012,Travel,SD,190394,1
206,4507259,0.199,0.001,Travel,HD,158062,0
207,4136314,0.056,0.036,Beauty,SD,443925,1
208,911681,0.176,0.009,Travel,SD,237809,1
209,1608618,0.168,0.006,Fashion,SD,309995,1
210,3897830,0.053,0.013,Fitness,SD,41501,0
211,4337787,0.086,0.02,Travel,SD,439572,0
212,2756423,0.088,0.024,Education,SD,387694,0
213,2034350,0.196,0.003,Gaming,SD,279054,0
214,2312987,0.044,0.049,Beauty,4K,53185,0
215,4597200,0.162,0.036,Travel,SD,429102,0
216,4672399,0.073,0.017,Education,SD,468614,1
217,72295,0.149,0.017,Fitness,HD,498659,0
218,744974,0.09,0.023,Beauty,4K,383961,1
219,3446376,0.12,0.032,Education,SD,90047,0
220,3613600,0.168,0.008,Tech,HD,466294,1
221,826816,0.163,0.01,Tech,SD,156858,1
222,375705,0.175,0.043,Education,SD,142963,1
223,3718270,0.021,0.014,Fashion,SD,289643,1
224,1857926,0.141,0.02,Fitness,SD,395734,0
225,1659845,0.037,0.044,Education,SD,13452,1
226,2027793,0.089,0.033,Gaming,HD,213348,0
227,555594,0.114,0.018,Fitness,SD,480514,0
228,148718,0.087,0.035,Gaming,HD,412998,0
229,4840567,0.109,0.002,Gaming,SD,350639,0
230,3505473,0.199,0.037,Fitness,HD,100851,0
231,2205664,0.036,0.025,Beauty,4K,185926,1
232,4342747,0.138,0.041,Food,SD,18442,0
233,1520163,0.085,0.048,Fitness,4K,454654,1
234,4568920,0.035,0.046,Education,4K,2222,1
235,687976,0.04,0.046,Beauty,4K,430536,0
236,2473189,0.19,0.026,Gaming,SD,460903,0
237,3142259,0.177,0.019,Beauty,4K,261269,1
238,118796,0.182,0.024,Beauty,HD,480858,0
239,1242082,0.198,0.035,Travel,SD,428262,0
240,4893680,0.05,0.044,Education,4K,458746,1
241,4893306,0.078,0.011,Tech,SD,392029,0
242,4115639,0.137,0.046,Tech,4K,66719,0
243,2689130,0.102,0.041,Education,HD,370419,0
244,3675515,0.089,0.049,Education,SD,256746,0
245,1580159,0.078,0.044,Fashion,SD,412110,0
246,908317,0.123,0.015,Tech,4K,452275,0
247,2486367,0.119,0.006,Food,HD,440421,0
248,4516488,0.041,0.006,Gaming,SD,478218,0
249,669234,0.1,0.015,Fitness,4K,420185,1
250,379480,0.115,0.031,Fitness,HD,336685,0
251,792971,0.118,0.04,Food,HD,106247,1
252,502157,0.05,0.045,Tech,HD,323982,0
253,4379727,0.151,0.032,Gaming,HD,5992,0
254,4125499,0.015,0.001,Tech,SD,410543,1
255,2614501,0.077,0.01,Beauty,SD,116859,1
256,2922944,0.158,0.006,Fashion,HD,159064,0
257,4328576,0.117,0.019,Tech,4K,200374,0
258,4963140,0.06,0.026,Fashion,4K,203017,0
259,3084153,0.142,0.003,Education,HD,144441,1
260,2800487,0.118,0.018,Education,HD,171354,0
261,2905941,0.161,0.01,Fitness,4K,415579,0
262,2101021,0.15,0.033,Gaming,HD,193559,1
263,4976778,0.126,0.024,Travel,HD,437771,1
264,1361828,0.103,0.025,Beauty,SD,204927,1
265,619467,0.035,0.022,Fashion,SD,291780,0
266,2136619,0.06,0.048,Tech,HD,382473,1
267,3956488,0.09,0.012,Education,HD,277481,1
268,4675351,0.124,0.026,Beauty,SD,76092,1
269,1708923,0.108,0.037,Tech,HD,394431,1
270,129391,0.065,0.028,Beauty,SD,148847,1
271,1018026,0.011,0.047,Fitness,SD,20691,0
272,4302754,0.104,0.02,Food,4K,476136,0
273,2270042,0.064,0.024,Beauty,SD,322770,1
274,1984509,0.15,0.005,Education,4K,445508,0
275,117381,0.015,0.031,Travel,4K,242570,0
276,1522701,0.121,0.015,Food,SD,255805,0
277,1621197,0.189,0.009,Education,HD,271538,1
278,2232660,0.043,0.028,Tech,SD,346897,0
279,1779226,0.1,0.027,Education,4K,84614,1
280,1200386,0.027,0.005,Food,SD,23821,0
281,3439618,0.129,0.035,Beauty,SD,109005,0
282,2015484,0.115,0.032,Travel,4K,25459,0
283,2938629,0.087,0.01,Travel,SD,404231,0
284,2458184,0.109,0.024,Gaming,SD,468329,1
285,3144963,0.18,0.036,Education,4K,65696,1
286,4104022,0.047,0.027,Food,HD,153015,1
287,1419175,0.014,0.02,Gaming,4K,185122,0
288,3807688,0.174,0.017,Tech,4K,469695,0
289,4925207,0.12,0.031,Tech,SD,168780,0
290,3773962,0.179,0.047,Tech,4K,133355,0
291,4192423,0.123,0.034,Fitness,SD,79149,0
292,4042776,0.164,0.005,Food,SD,333565,1
293,2728423,0.092,0.024,Fashion,SD,496137,0
294,1761427,0.152,0.045,Travel,4K,138554,0
295,4319427,0.183,0.006,Fashion,4K,363531,1
296,3452356,0.119,0.049,Tech,SD,239797,0
297,1132565,0.044,0.048,Beauty,HD,472659,1
298,3445084,0.061,0.005,Education,HD,277960,1
299,2928109,0.048,0.047,Beauty,4K,484090,0
300,4373578,0.057,0.019,Food,SD,486459,0
301,2510079,0.068,0.042,Beauty,SD,376296,1
302,2888004,0.115,0.022,Gaming,4K,487654,0
303,1932760,0.122,0.023,Education,HD,461682,0
304,132373,0.091,0.032,Education,4K,120857,1
305,116294,0.127,0.039,Fashion,4K,105864,0
306,3133514,0.025,0.003,Beauty,SD,265580,0
307,4843611,0.027,0.03,Tech,4K,340044,1
308,4336868,0.043,0.01,Fashion,HD,222223,1
309,1427388,0.108,0.018,Fashion,4K,75343,0
310,3852424,0.051,0.018,Travel,SD,269353,0
311,2216167,0.064,0.024,Fashion,HD,226962,0
312,3887402,0.086,0.017,Tech,SD,283351,0
313,690944,0.164,0.006,Travel,4K,39884,1
314,689105,0.013,0.008,Education,4K,297831,1
315,2611910,0.133,0.003,Tech,4K,329579,1
316,1990173,0.137,0.024,Fitness,SD,43036,0
317,3081761,0.162,0.048,Education,4K,379416,0
318,1415466,0.187,0.007,Education,HD,417904,0
319,446101,0.014,0.047,Beauty,HD,276889,0
320,1106534,0.039,0.037,Fitness,SD,373926,0
321,3228802,0.178,0.032,Beauty,SD,220479,0
322,1584593,0.097,0.033,Fitness,SD,375384,0
323,1804649,0.117,0.042,Fashion,4K,32786,1
324,1225665,0.136,0.006,Food,HD,480945,1
325,2295544,0.139,0.026,Tech,HD,165875,0
326,4354127,0.187,0.035,Fitness,HD,218245,0
327,499863,0.199,0.03,Education,SD,172621,1
328,368654,0.147,0.042,Education,SD,343545,1
329,2677188,0.065,0.005,Food,4K,187772,0
330,3296990,0.177,0.035,Fitness,SD,341630,1
331,1493785,0.019,0.027,Education,HD,70226,1
332,798079,0.054,0.02,Beauty,4K,378986,0
333,4859380,0.181,0.018,Fitness,SD,174433,0
334,4043787,0.059,0.031,Food,SD,175211,0
335,3929083,0.052,0.045,Fitness,HD,286581,0
336,2700015,0.036,0.025,Fashion,4K,191086,0
337,3415527,0.173,0.041,Fashion,SD,466704,1
338,1287125,0.105,0.021,Travel,SD,385889,1
339,3741047,0.138,0.006,Fashion,4K,266604,0
340,449982,0.055,0.004,Gaming,4K,302246,0
341,1173622,0.154,0.004,Travel,SD,489437,1
342,2504771,0.154,0.02,Fitness,SD,142136,0
343,3178825,0.069,0.018,Gaming,HD,328177,0
344,997161,0.088,0.036,Tech,4K,310154,1
345,4184839,0.05,0.037,Food,SD,267735,0
346,667326,0.196,0.003,Tech,SD,62835,0
347,650150,0.133,0.012,Gaming,SD,424235,0
348,3376957,0.188,0.014,Education,SD,397426,0
349,119834,0.068,0.028,Fashion,HD,64064,0
350,3240576,0.159,0.008,Beauty,4K,129757,0
351,3199649,0.156,0.008,Fitness,SD,116017,1
352,4480125,0.141,0.047,Travel,4K,60477,0
353,4250913,0.193,0.04,Education,4K,105431,0
354,4423201,0.085,0.01,Beauty,SD,458691,0
355,1080600,0.035,0.021,Education,SD,451330,0
356,1026715,0.138,0.018,Beauty,SD,270632,1
357,1439533,0.149,0.04,Fitness,HD,167326,0
358,2282230,0.119,0.026,Fashion,SD,356294,1
359,3504157,0.049,0.007,Fitness,4K,259016,0
360,462243,0.106,0.037,Food,4K,285718,0
361,2059852,0.069,0.02,Beauty,HD,283842,1
362,3260360,0.091,0.014,Food,SD,338689,0
363,1986588,0.133,0.019,Education,SD,156752,1
364,252451,0.152,0.025,Food,HD,48568,0
365,4198355,0.054,0.018,Tech,HD,111469,0
366,1753683,0.087,0.013,Education,SD,17060,1
367,1005646,0.061,0.021,Fashion,SD,174246,1
368,972525,0.048,0.002,Food,4K,327796,1
369,3868500,0.159,0.039,Gaming,SD,124016,1
370,4384711,0.183,0.009,Food,SD,170510,1
371,450395,0.08,0.003,Travel,4K,298035,0
372,1261386,0.153,0.033,Tech,4K,291375,0
373,3055390,0.18,0.039,Gaming,4K,347342,0
374,3380569,0.171,0.041,Beauty,4K,376524,0
375,2901603,0.045,0.025,Fashion,HD,118940,0
376,2968197,0.192,0.011,Fashion,4K,418952,1
377,223866,0.082,0.037,Travel,HD,430849,0
378,1136248,0.074,0.035,Beauty,4K,208487,1
379,1647711,0.022,0.013,Food,4K,4840,0
380,1424286,0.102,0.045,Gaming,4K,70791,0
381,3696961,0.031,0.006,Travel,SD,49231,1
382,3178945,0.057,0.049,Gaming,HD,189000,0
383,3414821,0.07,0.043,Food,4K,315466,0
384,184062,0.164,0.035,Beauty,SD,304510,0
385,2492518,0.176,0.047,Food,HD,376939,1
386,2842992,0.067,0.036,Fitness,HD,217013,0
387,4295539,0.173,0.01,Fitness,SD,215367,0
388,3221468,0.173,0.023,Food,HD,359435,1
389,4945505,0.155,0.005,Tech,SD,102762,0
390,804328,0.038,0.02,Travel,4K,232012,1
391,4063958,0.141,0.037,Fitness,SD,240664,0
392,1044233,0.19,0.02,Education,HD,304457,0
393,1712741,0.14,0.017,Food,HD,490866,1
394,530525,0.073,0.03,Education,4K,459758,1
395,177615,0.105,0.044,Education,SD,205707,1
396,4382932,0.133,0.003,Gaming,4K,481026,1
397,2736988,0.107,0.02,Travel,SD,402431,0
398,4602020,0.033,0.009,Beauty,SD,481249,0
399,3700391,0.069,0.035,Fitness,SD,449618,0
400,542252,0.162,0.006,Beauty,4K,101854,1
401,1687293,0.174,0.034,Tech,4K,277427,1
402,3613610,0.036,0.015,Travel,HD,228370,1
403,2165367,0.191,0.011,Travel,4K,351656,0
404,1905050,0.072,0.047,Fashion,SD,330577,0
405,145356,0.136,0.002,Gaming,SD,303324,1
406,4399165,0.153,0.022,Tech,SD,224583,1
407,3100320,0.164,0.002,Education,4K,385851,1
408,356612,0.19,0.025,Tech,HD,59679,1
409,3601333,0.069,0.026,Beauty,4K,362257,0
410,10435,0.173,0.017,Tech,HD,302614,0
411,4642860,0.035,0.007,Gaming,4K,466952,0
412,1749014,0.144,0.019,Tech,SD,5218,0
413,3722309,0.151,0.034,Fashion,HD,420827,0
414,4274085,0.139,0.039,Fitness,4K,432434,0
415,2289627,0.058,0.027,Gaming,SD,338413,0
416,765121,0.176,0.03,Tech,HD,80207,1
417,1170748,0.042,0.011,Food,HD,142298,1
418,3503630,0.02,0.015,Fitness,SD,354948,1
419,2583115,0.146,0.009,Beauty,SD,262143,0
420,1108677,0.1,0.013,Education,4K,17639,0
421,289790,0.171,0.012,Travel,4K,262629,0
422,2645489,0.083,0.026,Gaming,SD,197253,1
423,1409836,0.042,0.029,Food,4K,120304,0
424,1642249,0.169,0.047,Travel,SD,45282,0
425,4845723,0.114,0.011,Food,SD,20458,1
426,3694305,0.046,0.032,Tech,4K,223311,0
427,4467271,0.147,0.041,Education,4K,152879,1
428,4386536,0.107,0.028,Gaming,HD,493878,0
429,1353695,0.125,0.013,Education,HD,103526,0
430,2107692,0.098,0.014,Education,4K,331778,0
431,1590228,0.167,0.003,Beauty,4K,276227,1
432,3544555,0.168,0.016,Tech,4K,244745,1
433,2650103,0.145,0.037,Travel,HD,279657,0
434,1101567,0.03,0.003,Beauty,4K,310628,0
435,2286903,0.169,0.012,Education,HD,241234,0
436,3833065,0.137,0.036,Fashion,HD,495538,1
437,4814296,0.142,0.039,Food,HD,121746,1
438,50115,0.079,0.023,Fashion,HD,496372,1
439,3338690,0.177,0.035,Travel,SD,176446,0
440,722747,0.148,0.02,Tech,4K,433913,0
441,4731530,0.031,0.009,Beauty,4K,129610,0
442,3050851,0.087,0.021,Beauty,SD,9596,1
443,2824100,0.178,0.029,Beauty,4K,202663,1
444,2985626,0.019,0.047,Fitness,HD,491971,0
445,1405330,0.193,0.004,Food,SD,74033,0
446,252492,0.139,0.026,Fitness,HD,207917,0
447,4036851,0.13,0.017,Gaming,SD,486617,0
448,492072,0.061,0.026,Food,HD,377439,1
449,1087880,0.057,0.002,Fashion,4K,288262,0
450,4700303,0.189,0.016,Fitness,4K,223072,1
451,4526897,0.067,0.041,Travel,4K,10368,1
452,2056723,0.157,0.028,Gaming,SD,284526,1
453,2249988,0.085,0.023,Food,4K,414355,1
454,4304244,0.036,0.015,Beauty,SD,168535,1
455,1315093,0.012,0.016,Travel,HD,369404,1
456,2765673,0.113,0.02,Education,4K,364769,0
457,2977242,0.195,0.042,Gaming,HD,388321,1
458,4581081,0.08,0.048,Fashion,4K,454180,1
459,2649790,0.078,0.022,Beauty,HD,246936,0
460,3764024,0.075,0.02,Travel,SD,161042,1
461,2647791,0.109,0.042,Food,4K,372626,1
462,2711108,0.094,0.022,Gaming,SD,71214,1
463,4834177,0.177,0.028,Tech,SD,195242,0
464,3354597,0.106,0.012,Education,HD,208006,1
465,66953,0.106,0.037,Food,4K,333746,0
466,3990618,0.036,0.027,Food,SD,151925,1
467,2598480,0.197,0.041,Beauty,HD,431904,0
468,4198571,0.057,0.039,Food,HD,296019,0
469,2923097,0.024,0.012,Beauty,HD,333854,0
470,158164,0.136,0.036,Food,4K,153844,0
471,4730930,0.123,0.04,Tech,4K,415432,0
472,2229636,0.089,0.018,Travel,HD,351920,0
473,532831,0.09,0.009,Travel,4K,351350,1
474,2990475,0.159,0.001,Travel,HD,166734,1
475,3207420,0.047,0.023,Fashion,4K,470303,0
476,3366884,0.166,0.018,Tech,4K,74106,0
477,3370720,0.133,0.028,Tech,HD,423188,0
478,4712075,0.09,0.01,Education,HD,190076,1
479,2641328,0.097,0.043,Gaming,4K,120337,0
480,692095,0.059,0.014,Fitness,HD,187013,0
481,834727,0.153,0.012,Travel,HD,370987,0
482,1163928,0.107,0.025,Fitness,HD,61901,0
483,2184151,0.071,0.025,Gaming,HD,321479,0
484,3164683,0.123,0.012,Tech,4K,494041,0
485,3971001,0.199,0.014,Gaming,SD,319580,1
486,71640,0.093,0.009,Food,4K,480234,1
487,4391886,0.185,0.036,Gaming,HD,163090,0
488,2001991,0.076,0.039,Gaming,HD,216507,1
489,4123263,0.02,0.024,Beauty,4K,186034,0
490,4595877,0.049,0.036,Food,HD,390090,1
491,4256780,0.09,0.037,Beauty,4K,158885,0
492,1356531,0.052,0.008,Fitness,SD,390988,1
493,676510,0.01,0.048,Education,HD,278754,1
494,3742196,0.184,0.041,Food,SD,428532,0
495,2735296,0.17,0.011,Education,SD,324193,1
496,3332869,0.151,0.01,Fashion,HD,481605,0
497,899320,0.042,0.007,Gaming,HD,393478,1
498,4830040,0.033,0.008,Education,4K,291174,0
499,2008635,0.023,0.038,Gaming,4K,263537,0
500,1227607,0.148,0.024,Beauty,HD,391389,0
501,4064960,0.186,0.039,Fitness,4K,124467,0
502,3265908,0.092,0.038,Beauty,SD,356904,0
503,4261538,0.033,0.031,Tech,SD,289529,0
504,1613818,0.107,0.035,Food,HD,45060,1
505,2276504,0.076,0.002,Tech,4K,14113,0
506,3226187,0.081,0.016,Fashion,HD,473568,0
507,4605299,0.128,0.032,Food,SD,137659,1
508,4661456,0.147,0.001,Fashion,HD,429417,0
509,4099502,0.031,0.003,Fashion,HD,19165,0
510,3622581,0.017,0.043,Fashion,HD,107068,0
511,4247238,0.199,0.035,Travel,HD,231256,0
512,426523,0.054,0.014,Food,SD,292266,0
513,3600865,0.02,0.035,Education,HD,358478,1
514,4200790,0.046,0.04,Food,HD,213975,0
515,1040458,0.017,0.016,Travel,4K,42489,0
516,3773811,0.084,0.003,Fitness,HD,45241,0
517,2318336,0.162,0.047,Education,4K,472416,0
518,4161435,0.075,0.018,Travel,HD,20663,0
519,2764642,0.094,0.006,Education,4K,72137,0
520,1810891,0.138,0.025,Gaming,HD,59675,0
521,3789340,0.107,0.039,Tech,4K,234830,0
522,2420862,0.174,0.012,Tech,HD,256472,1
523,198775,0.175,0.014,Fashion,HD,497973,0
524,2387488,0.012,0.013,Food,4K,498300,0
525,788494,0.158,0.05,Food,HD,296190,1
526,1202193,0.098,0.011,Fashion,HD,135047,0
527,3944334,0.198,0.029,Gaming,HD,70759,1
528,3010758,0.102,0.046,Tech,HD,277534,1
529,534636,0.198,0.008,Travel,SD,154842,0
530,3039370,0.153,0.049,Fitness,HD,269357,0
531,4233406,0.057,0.047,Education,SD,93889,1
532,4269764,0.112,0.044,Education,SD,467853,1
